customer_id,tenure_months,monthly_spend,monthly_usage_gb,call_minutes,message_count,days_since_last_payment,complaints_count,is_churned,tenure_bucket,usage_per_spend,payment_recency_bucket,plan_premium,plan_standard
CUS0004171,64.0,38.05,2.42,780,47,3,2,0,"(48, 72]",0.06360052562417871,"(-1, 7]",False,True
CUS0004605,29.0,28.21,7.45,848,161,21,0,0,"(24, 48]",0.2640907479617157,"(7, 30]",False,False
CUS0007587,57.0,74.65,0.59,949,206,17,0,0,"(48, 72]",0.007903549899531145,"(7, 30]",True,False
CUS0007769,26.0,13.73,8.44,720,267,35,0,1,"(24, 48]",0.6147123088128186,"(30, 60]",False,False
CUS0004385,22.0,41.13,18.39,895,130,10,1,0,"(12, 24]",0.4471188913202042,"(7, 30]",False,True
CUS0007333,54.0,18.05,14.25,6,79,14,3,0,"(48, 72]",0.7894736842105263,"(7, 30]",False,False
CUS0005061,29.0,28.22,15.17,636,131,40,1,0,"(24, 48]",0.53756201275691,"(30, 60]",False,False
CUS0002565,63.0,15.72,9.31,762,40,52,1,0,"(48, 72]",0.5922391857506362,"(30, 60]",False,False
CUS0002908,64.0,44.66,7.16,713,100,31,2,0,"(48, 72]",0.16032243618450517,"(30, 60]",False,True
CUS0006629,40.0,42.7,0.0,743,62,41,0,1,"(24, 48]",0.0,"(30, 60]",False,True
CUS0006787,25.0,24.78,0.0,782,248,26,2,1,"(24, 48]",0.0,"(7, 30]",False,False
CUS0002724,52.0,21.13,4.73,837,294,5,0,0,"(48, 72]",0.22385234264079512,"(-1, 7]",False,False
CUS0007002,67.0,28.47,5.96,993,111,67,0,0,"(48, 72]",0.20934316824727783,,False,False
CUS0002755,2.0,65.16,11.34,665,120,7,7,1,"(0, 6]",0.17403314917127072,"(-1, 7]",False,True
CUS0007196,7.0,15.37,0.0,264,237,29,0,0,"(6, 12]",0.0,"(7, 30]",False,False
CUS0002344,55.0,20.98,21.36,834,292,21,1,0,"(48, 72]",1.0181124880838894,"(7, 30]",False,False
CUS0000983,13.0,22.68,12.2,503,216,17,0,1,"(12, 24]",0.5379188712522046,"(7, 30]",False,False
CUS0003666,48.0,21.19,7.36,984,217,18,2,0,"(24, 48]",0.3473336479471449,"(7, 30]",False,False
CUS0006160,35.0,11.0,9.55,637,22,61,1,1,"(24, 48]",0.8681818181818183,,False,False
CUS0005042,9.0,35.5,6.08,543,20,33,3,0,"(6, 12]",0.1712676056338028,"(30, 60]",False,True
CUS0003882,68.0,26.85,11.64,217,36,13,0,0,"(48, 72]",0.4335195530726257,"(7, 30]",False,False
CUS0005854,18.0,35.57,9.64,944,290,14,0,0,"(12, 24]",0.2710149001967951,"(7, 30]",False,True
CUS0002782,3.0,16.84,2.21,451,16,25,3,0,"(0, 6]",0.13123515439429928,"(7, 30]",False,False
CUS0000673,19.0,19.89,1.13,945,73,17,1,0,"(12, 24]",0.05681246857717445,"(7, 30]",False,False
CUS0005697,37.0,20.13,2.44,256,119,22,0,0,"(24, 48]",0.12121212121212122,"(7, 30]",False,False
CUS0005228,36.56668337929305,25.01,13.99,14,180,23,0,1,"(24, 48]",0.5593762495001999,"(7, 30]",False,False
CUS0000420,22.0,23.72,5.9,844,147,16,2,0,"(12, 24]",0.24873524451939294,"(7, 30]",False,False
CUS0002186,60.0,13.63,3.83,637,64,8,3,1,"(48, 72]",0.280997798972854,"(7, 30]",False,False
CUS0000324,4.0,14.28,16.88,434,20,17,1,0,"(0, 6]",1.1820728291316527,"(7, 30]",False,False
CUS0001339,44.0,40.75,7.1,238,125,36,2,1,"(24, 48]",0.17423312883435582,"(30, 60]",False,True
CUS0002103,68.0,118.7,9.29,851,100,39,0,0,"(48, 72]",0.07826453243470934,"(30, 60]",True,False
CUS0007277,68.0,25.53,9.17,360,132,37,0,0,"(48, 72]",0.35918527222875046,"(30, 60]",False,False
CUS0000840,12.0,15.47,3.73,753,206,37,0,1,"(6, 12]",0.24111182934712344,"(30, 60]",False,False
CUS0001842,33.0,50.62,1.36,719,193,11,5,0,"(24, 48]",0.02686685104701699,"(7, 30]",False,True
CUS0007938,32.0,29.88,4.65,24,288,27,1,0,"(24, 48]",0.15562248995983938,"(7, 30]",False,False
CUS0003571,60.0,24.51,17.37,463,111,28,2,0,"(48, 72]",0.7086903304773562,"(7, 30]",False,False
CUS0000691,45.0,29.44,12.04,331,119,11,7,1,"(24, 48]",0.4089673913043478,"(7, 30]",False,False
CUS0003287,57.0,82.5,6.21,592,280,55,0,1,"(48, 72]",0.07527272727272727,"(30, 60]",True,False
CUS0007579,48.0,20.16,12.24,106,97,20,3,0,"(24, 48]",0.6071428571428571,"(7, 30]",False,False
CUS0002164,68.0,12.09,14.06,74,98,35,0,0,"(48, 72]",1.162944582299421,"(30, 60]",False,False
CUS0007022,36.0,53.87,8.75,119,34,53,2,0,"(24, 48]",0.1624280675700761,"(30, 60]",False,True
CUS0000448,33.0,54.55,7.03,125,45,17,3,1,"(24, 48]",0.12887259395050413,"(7, 30]",False,True
CUS0003152,20.0,32.97,3.33,851,214,50,0,0,"(12, 24]",0.10100090991810738,"(30, 60]",False,True
CUS0007981,70.0,12.43,10.06,410,123,32,1,0,"(48, 72]",0.8093322606596943,"(30, 60]",False,False
CUS0001040,2.0,29.52,6.51,992,44,32,0,0,"(0, 6]",0.22052845528455284,"(30, 60]",False,False
CUS0005381,58.0,25.75,8.218195789745577,29,101,20,1,0,"(48, 72]",0.3191532345532263,"(7, 30]",False,False
CUS0004523,49.0,90.44,5.01,767,252,66,1,0,"(48, 72]",0.055395842547545336,,True,False
CUS0000503,29.0,83.72,7.59,595,21,10,1,0,"(24, 48]",0.09065934065934066,"(7, 30]",True,False
CUS0006871,9.0,71.29,12.28,414,221,68,0,0,"(6, 12]",0.17225417309580585,,True,False
CUS0006655,13.0,12.36,8.51,726,142,32,1,0,"(12, 24]",0.6885113268608415,"(30, 60]",False,False
CUS0005544,72.0,83.77,1.92,325,123,70,2,0,"(48, 72]",0.022919899725438703,,True,False
CUS0003658,23.0,19.59,4.94,942,62,8,1,0,"(12, 24]",0.2521694742215416,"(7, 30]",False,False
CUS0004909,18.0,101.84,8.218195789745577,401,248,34,0,0,"(12, 24]",0.08069713069270991,"(30, 60]",True,False
CUS0007528,52.0,69.54,0.39,136,296,20,2,0,"(48, 72]",0.005608283002588438,"(7, 30]",False,True
CUS0002462,41.0,89.53,5.19,855,89,15,0,0,"(24, 48]",0.05796939573327377,"(7, 30]",True,False
CUS0000387,37.0,55.52662624177525,0.0,533,273,8,1,0,"(24, 48]",0.0,"(7, 30]",False,False
CUS0007193,25.0,17.27,10.78,997,107,5,5,0,"(24, 48]",0.6242038216560509,"(-1, 7]",False,False
CUS0002187,45.0,11.11,0.0,728,14,2,1,0,"(24, 48]",0.0,"(-1, 7]",False,False
CUS0001286,60.0,21.56,0.0,305,89,31,3,1,"(48, 72]",0.0,"(30, 60]",False,False
CUS0002478,38.0,11.31,0.71,319,62,10,1,0,"(24, 48]",0.0627763041556145,"(7, 30]",False,False
CUS0001378,31.0,10.59,15.42,111,184,0,0,0,"(24, 48]",1.4560906515580736,"(-1, 7]",False,False
CUS0007492,70.0,29.87,8.78,167,84,4,0,0,"(48, 72]",0.2939404084365584,"(-1, 7]",False,False
CUS0004118,8.0,66.77,8.66,430,260,26,0,1,"(6, 12]",0.12969896660176727,"(7, 30]",True,False
CUS0007392,5.0,33.69,5.09,709,62,1,1,0,"(0, 6]",0.1510834075393292,"(-1, 7]",False,True
CUS0005906,4.0,79.99,15.97,120,93,50,0,0,"(0, 6]",0.19964995624453058,"(30, 60]",True,False
CUS0003928,36.0,27.14,4.72,8,253,40,3,0,"(24, 48]",0.17391304347826086,"(30, 60]",False,False
CUS0002934,40.0,18.92,17.97,933,242,18,0,0,"(24, 48]",0.9497885835095136,"(7, 30]",False,False
CUS0002449,34.0,22.07,0.0,44,199,40,4,1,"(24, 48]",0.0,"(30, 60]",False,False
CUS0000255,16.0,16.14,5.71,552,265,21,2,0,"(12, 24]",0.3537794299876084,"(7, 30]",False,False
CUS0000087,22.0,12.38,12.98,228,113,35,5,0,"(12, 24]",1.048465266558966,"(30, 60]",False,False
CUS0005804,64.0,27.12,3.73,474,246,13,0,1,"(48, 72]",0.13753687315634217,"(7, 30]",False,False
CUS0005414,24.0,14.49,5.25,18,55,15,0,0,"(12, 24]",0.36231884057971014,"(7, 30]",False,False
CUS0004130,26.0,23.01,0.0,20,294,58,0,0,"(24, 48]",0.0,"(30, 60]",False,False
CUS0003660,38.0,118.34,15.7,909,242,40,1,0,"(24, 48]",0.1326685820517154,"(30, 60]",True,False
CUS0007382,35.0,10.3,10.95,880,293,6,5,0,"(24, 48]",1.0631067961165046,"(-1, 7]",False,False
CUS0002619,6.0,20.37,2.75,434,177,5,0,0,"(0, 6]",0.13500245459008345,"(-1, 7]",False,False
CUS0007720,41.0,82.69,10.53,641,233,38,3,1,"(24, 48]",0.12734308864433425,"(30, 60]",True,False
CUS0002739,61.0,14.12,3.07,299,98,17,3,0,"(48, 72]",0.21742209631728046,"(7, 30]",False,False
CUS0006088,49.0,45.73,6.29,282,273,8,0,0,"(48, 72]",0.137546468401487,"(7, 30]",False,True
CUS0003536,62.0,63.36,14.2,401,294,18,1,0,"(48, 72]",0.2241161616161616,"(7, 30]",False,True
CUS0002808,1.0,26.64,5.85,386,227,40,1,1,"(0, 6]",0.21959459459459457,"(30, 60]",False,False
CUS0005211,72.0,12.32,8.218195789745577,291,143,28,0,0,"(48, 72]",0.6670613465702578,"(7, 30]",False,False
CUS0007353,29.0,44.19,7.0,796,295,35,1,0,"(24, 48]",0.15840687938447615,"(30, 60]",False,True
CUS0000274,7.0,26.66,6.29,869,21,25,0,1,"(6, 12]",0.23593398349587397,"(7, 30]",False,False
CUS0001767,57.0,22.08,16.91,268,268,6,0,0,"(48, 72]",0.7658514492753624,"(-1, 7]",False,False
CUS0007905,5.0,20.43,4.69,17,198,42,1,0,"(0, 6]",0.2295643661282428,"(30, 60]",False,False
CUS0000853,17.0,13.4,2.18,715,53,1,0,0,"(12, 24]",0.16268656716417912,"(-1, 7]",False,False
CUS0003678,14.0,55.52662624177525,3.5,440,187,22,1,1,"(12, 24]",0.0630328229336359,"(7, 30]",False,False
CUS0004951,63.0,14.84,0.0,288,154,17,0,1,"(48, 72]",0.0,"(7, 30]",False,False
CUS0003025,3.0,99.33,10.22,713,110,16,2,1,"(0, 6]",0.1028893587033122,"(7, 30]",True,False
CUS0006062,14.0,45.5,0.61,177,74,4,3,0,"(12, 24]",0.013406593406593406,"(-1, 7]",False,True
CUS0007218,59.0,39.07,5.03,481,294,12,1,0,"(48, 72]",0.12874328128999232,"(7, 30]",False,True
CUS0003206,28.0,36.18,12.34,919,217,15,3,0,"(24, 48]",0.3410724156992814,"(7, 30]",False,True
CUS0000973,57.0,69.1,7.12,241,139,30,1,0,"(48, 72]",0.10303907380607816,"(7, 30]",True,False
CUS0004387,60.0,30.46,5.47,525,87,39,1,0,"(48, 72]",0.17957977675640183,"(30, 60]",False,True
CUS0001721,24.0,29.71,11.0,700,264,45,1,0,"(12, 24]",0.3702457085156513,"(30, 60]",False,False
CUS0003735,53.0,89.97,9.86,727,122,31,2,0,"(48, 72]",0.10959208625097254,"(30, 60]",True,False
CUS0006869,68.0,18.35,16.74,4,292,10,0,0,"(48, 72]",0.9122615803814712,"(7, 30]",False,False
CUS0006893,25.0,34.1,2.49,343,181,34,0,0,"(24, 48]",0.07302052785923754,"(30, 60]",False,True
CUS0002121,51.0,61.23,2.51,929,195,26,2,0,"(48, 72]",0.04099297729870978,"(7, 30]",False,True
CUS0006816,52.0,29.73,6.4,88,168,24,0,0,"(48, 72]",0.21527077026572486,"(7, 30]",False,False
CUS0002904,23.0,15.71,4.9,375,187,46,0,0,"(12, 24]",0.3119032463399109,"(30, 60]",False,False
CUS0002802,13.0,51.5,10.25,268,169,18,8,1,"(12, 24]",0.19902912621359223,"(7, 30]",False,True
CUS0006387,33.0,21.45,10.47,294,25,65,0,0,"(24, 48]",0.48811188811188816,,False,False
CUS0000834,10.0,19.81,10.68,721,156,75,4,0,"(6, 12]",0.5391216557294296,,False,False
CUS0000309,54.0,31.12,8.218195789745577,461,108,45,1,0,"(48, 72]",0.2640808415728013,"(30, 60]",False,True
CUS0003586,4.0,11.15,24.43,730,245,8,0,0,"(0, 6]",2.191031390134529,"(7, 30]",False,False
CUS0001871,12.0,57.79,4.67,194,292,36,0,1,"(6, 12]",0.0808098286900848,"(30, 60]",False,True
CUS0003825,7.0,23.03,0.0,793,293,14,3,1,"(6, 12]",0.0,"(7, 30]",False,False
CUS0005908,12.0,46.4,0.0,5,285,30,0,1,"(6, 12]",0.0,"(7, 30]",False,True
CUS0003548,67.0,43.63885951963101,4.36,619,190,40,0,0,"(48, 72]",0.09991095202748475,"(30, 60]",False,False
CUS0001896,20.0,36.02,3.22,790,110,17,0,0,"(12, 24]",0.08939478067740145,"(7, 30]",False,True
CUS0007113,69.0,84.59,8.218195789745577,36,49,64,1,0,"(48, 72]",0.09715327804404275,,True,False
CUS0005875,20.0,55.52662624177525,9.35,985,142,21,0,0,"(12, 24]",0.16838768412271304,"(7, 30]",True,False
CUS0000860,31.0,74.87,8.218195789745577,560,223,65,1,0,"(24, 48]",0.10976620528576969,,True,False
CUS0001797,64.0,44.59,13.72,10,151,12,3,0,"(48, 72]",0.3076923076923077,"(7, 30]",False,True
CUS0006898,67.0,97.54,1.94,199,9,4,2,0,"(48, 72]",0.01988927619438179,"(-1, 7]",True,False
CUS0002063,36.0,99.24,0.0,231,294,8,0,0,"(24, 48]",0.0,"(7, 30]",True,False
CUS0005811,25.0,27.33,12.71,299,112,11,4,0,"(24, 48]",0.46505671423344314,"(7, 30]",False,False
CUS0003326,38.0,20.41,8.218195789745577,462,277,19,1,1,"(24, 48]",0.40265535471560887,"(7, 30]",False,False
CUS0006341,4.0,10.97,5.99,78,219,12,0,0,"(0, 6]",0.5460346399270738,"(7, 30]",False,False
CUS0005564,69.0,17.32,1.23,72,286,23,2,0,"(48, 72]",0.0710161662817552,"(7, 30]",False,False
CUS0001554,38.0,60.93,0.0,738,144,29,0,0,"(24, 48]",0.0,"(7, 30]",False,True
CUS0007340,24.0,55.52662624177525,7.7,941,184,32,1,1,"(12, 24]",0.138672210453999,"(30, 60]",True,False
CUS0000489,62.0,56.73,3.66,221,184,15,2,0,"(48, 72]",0.06451612903225808,"(7, 30]",False,True
CUS0004151,42.0,20.73,6.12,572,119,40,1,0,"(24, 48]",0.2952243125904486,"(30, 60]",False,False
CUS0002909,10.0,113.01,9.87,197,33,22,4,0,"(6, 12]",0.08733740376957791,"(7, 30]",True,False
CUS0005374,37.0,119.35,13.34,260,123,24,0,0,"(24, 48]",0.11177209886887307,"(7, 30]",True,False
CUS0003913,18.0,16.63,5.54,518,99,8,5,0,"(12, 24]",0.33313289236319904,"(7, 30]",False,False
CUS0003601,69.0,35.48,6.54,850,95,27,0,0,"(48, 72]",0.18432919954904173,"(7, 30]",False,True
CUS0006562,11.0,59.67,0.0,538,14,6,0,1,"(6, 12]",0.0,"(-1, 7]",False,True
CUS0004404,47.0,43.73,7.73,255,180,3,0,0,"(24, 48]",0.1767665218385548,"(-1, 7]",False,True
CUS0006034,48.0,19.21,5.35,308,266,81,1,0,"(24, 48]",0.27850078084331076,,False,False
CUS0002747,66.0,64.83,13.92,225,7,39,2,1,"(48, 72]",0.2147154095326238,"(30, 60]",False,True
CUS0003005,33.0,50.83,7.72,219,173,11,3,0,"(24, 48]",0.15187881172535905,"(7, 30]",False,True
CUS0004788,7.0,41.14,9.62,899,124,46,4,1,"(6, 12]",0.23383568303354396,"(30, 60]",False,True
CUS0007883,61.0,30.75,11.18,639,82,2,0,0,"(48, 72]",0.36357723577235773,"(-1, 7]",False,True
CUS0000685,10.0,89.79,0.8,883,107,35,6,0,"(6, 12]",0.00890967813787727,"(30, 60]",True,False
CUS0006089,71.0,94.61,0.0,592,216,63,0,0,"(48, 72]",0.0,,True,False
CUS0000304,41.0,18.98,13.39,200,23,4,0,0,"(24, 48]",0.7054794520547946,"(-1, 7]",False,False
CUS0003322,6.0,99.67,14.57,272,218,9,2,0,"(0, 6]",0.14618240192635698,"(7, 30]",True,False
CUS0004521,59.0,25.91,12.32,223,149,60,6,0,"(48, 72]",0.4754920879969124,"(30, 60]",False,False
CUS0006216,16.0,56.28,2.97,75,134,4,0,1,"(12, 24]",0.052771855010660985,"(-1, 7]",False,True
CUS0000534,22.0,55.52662624177525,8.81,257,102,59,2,0,"(12, 24]",0.1586626200129521,"(30, 60]",False,True
CUS0001935,33.0,55.52662624177525,8.218195789745577,425,60,0,0,0,"(24, 48]",0.14800459429971002,"(-1, 7]",False,False
CUS0000790,63.0,72.09,3.09,793,230,13,0,0,"(48, 72]",0.04286308780690803,"(7, 30]",True,False
CUS0000418,8.0,36.85,7.89,629,205,17,3,0,"(6, 12]",0.21411126187245588,"(7, 30]",False,True
CUS0006293,53.0,23.85,12.26,273,178,2,3,0,"(48, 72]",0.5140461215932913,"(-1, 7]",False,False
CUS0003746,64.0,23.6,16.96,324,264,6,3,0,"(48, 72]",0.7186440677966102,"(-1, 7]",False,False
CUS0002027,53.0,11.07,10.48,229,147,25,0,0,"(48, 72]",0.9467028003613369,"(7, 30]",False,False
CUS0002430,58.0,39.12,10.69,696,197,53,0,1,"(48, 72]",0.27326175869120656,"(30, 60]",False,True
CUS0006589,50.0,19.99,8.218195789745577,487,6,5,2,0,"(48, 72]",0.4111153471608593,"(-1, 7]",False,False
CUS0000317,59.0,27.13,7.46,758,99,0,1,0,"(48, 72]",0.2749723553262072,"(-1, 7]",False,False
CUS0000078,52.0,108.54,3.15,653,259,28,2,0,"(48, 72]",0.029021558872305137,"(7, 30]",True,False
CUS0004470,53.0,40.39,14.2,379,151,67,4,1,"(48, 72]",0.351572171329537,,False,True
CUS0001307,40.0,11.38,0.0,404,112,14,2,0,"(24, 48]",0.0,"(7, 30]",False,False
CUS0000224,42.0,93.88,10.74,373,212,23,0,0,"(24, 48]",0.1144013634426928,"(7, 30]",True,False
CUS0002640,16.0,24.98,10.91,881,289,23,1,0,"(12, 24]",0.43674939951961567,"(7, 30]",False,False
CUS0007855,17.0,15.13,8.218195789745577,797,223,11,6,1,"(12, 24]",0.5431722266851009,"(7, 30]",False,False
CUS0000901,21.0,24.19,7.7,608,252,4,0,0,"(12, 24]",0.31831335262505167,"(-1, 7]",False,False
CUS0001928,12.0,55.52662624177525,8.99,187,57,21,0,0,"(6, 12]",0.1619043080495391,"(7, 30]",False,True
CUS0002575,44.0,53.8,3.6,733,50,37,2,0,"(24, 48]",0.06691449814126395,"(30, 60]",False,True
CUS0001973,47.0,26.35,10.1,23,176,3,1,0,"(24, 48]",0.3833017077798861,"(-1, 7]",False,False
CUS0005890,21.0,20.04,7.63,869,24,0,2,0,"(12, 24]",0.38073852295409183,"(-1, 7]",False,False
CUS0003878,34.0,101.61,8.41,66,64,49,2,1,"(24, 48]",0.08276744414919791,"(30, 60]",True,False
CUS0000782,59.0,35.73,20.33,347,207,33,0,0,"(48, 72]",0.5689896445563952,"(30, 60]",False,True
CUS0002321,49.0,20.35,4.36,853,200,31,3,1,"(48, 72]",0.21425061425061426,"(30, 60]",False,False
CUS0006976,37.0,41.31,7.19,804,271,12,2,0,"(24, 48]",0.17404986686032436,"(7, 30]",False,True
CUS0001861,6.0,29.55,7.04,494,239,1,3,0,"(0, 6]",0.23824027072758036,"(-1, 7]",False,False
CUS0007948,30.0,14.12,6.74,769,10,11,0,0,"(24, 48]",0.47733711048158645,"(7, 30]",False,False
CUS0003270,8.0,10.34,4.95,382,185,20,0,0,"(6, 12]",0.4787234042553192,"(7, 30]",False,False
CUS0004696,64.0,15.54,14.2,179,177,2,0,0,"(48, 72]",0.9137709137709138,"(-1, 7]",False,False
CUS0002490,17.0,25.02,15.67,637,53,1,1,0,"(12, 24]",0.626298960831335,"(-1, 7]",False,False
CUS0001627,70.0,49.11,14.3,650,118,3,0,0,"(48, 72]",0.29118305844023623,"(-1, 7]",False,True
CUS0002617,49.0,45.02,3.26,507,96,7,1,0,"(48, 72]",0.07241226121723678,"(-1, 7]",False,True
CUS0006993,57.0,15.9,0.0,111,144,3,1,0,"(48, 72]",0.0,"(-1, 7]",False,False
CUS0005437,51.0,12.85,9.81,755,113,43,1,0,"(48, 72]",0.7634241245136187,"(30, 60]",False,False
CUS0003207,59.0,26.18,9.87,727,67,36,1,0,"(48, 72]",0.37700534759358284,"(30, 60]",False,False
CUS0003918,58.0,65.9,4.72,345,124,25,0,0,"(48, 72]",0.0716236722306525,"(7, 30]",False,True
CUS0005254,32.0,29.21,8.03,987,0,21,0,0,"(24, 48]",0.2749058541595344,"(7, 30]",False,False
CUS0007251,34.0,62.93,15.69,241,270,33,1,0,"(24, 48]",0.2493246464325441,"(30, 60]",False,True
CUS0000461,71.0,103.15,1.92,398,258,0,1,0,"(48, 72]",0.01861366941347552,"(-1, 7]",True,False
CUS0007061,32.0,46.35,10.84,152,182,69,1,0,"(24, 48]",0.23387270765911541,,False,True
CUS0007107,30.0,68.23,16.23,84,54,14,4,1,"(24, 48]",0.2378719038546094,"(7, 30]",True,False
CUS0000505,32.0,82.35,12.6,471,115,20,2,0,"(24, 48]",0.15300546448087432,"(7, 30]",True,False
CUS0001423,58.0,48.05,0.0,80,36,5,7,1,"(48, 72]",0.0,"(-1, 7]",False,True
CUS0002709,36.0,61.7,8.218195789745577,90,196,40,0,0,"(24, 48]",0.13319604197318602,"(30, 60]",False,True
